"","x","y","densidad","x","y","densidad","x","y","densidad","x","y","densidad","x","y","densidad","x","y","densidad"
"40272",-75.2253570729804,4.4272988890535,429.099585312326,-75.2433570730194,4.43129888934067,445.891033204967,-75.2353570731934,4.43129888929971,388.522506385633,-75.2373570728409,4.42929888918389,428.24730341721,-75.2233570729604,4.43129888921514,711.282596076145,-75.2173570728668,4.43129888934103,596.016590210085
"40273",-75.2233570729329,4.42729888917419,434.543914892217,-75.241357072964,4.43129888941077,453.386033832019,-75.2333570727029,4.4312988893644,409.738906271403,-75.235357073192,4.42929888917072,445.438665539687,-75.2213570730136,4.43129888924518,825.764106953505,-75.2153570729423,4.43129888933059,616.767988251297
"40681",-75.2253570729727,4.42929888931009,433.236004888701,-75.2393570729293,4.4312988893171,443.736340386372,-75.2313570730009,4.43129888935318,430.591632294942,-75.233357072689,4.42929888909079,453.217439317025,-75.2193570729288,4.43129888928715,888.658468347434,-75.2193570729755,4.43329888923823,592.805239031384
"40682",-75.2233570728936,4.42929888923616,428.260723784612,-75.2413570728957,4.43329888907685,453.219233572906,-75.2293570729312,4.4312988892892,449.529549065919,-75.2313570730327,4.42929888911978,450.101572806241,-75.2173570728668,4.43129888934103,886.262220467832,-75.2173570728885,4.43329888911634,624.874708795683
"41084",-75.2373570727997,4.43129888924694,433.723787106634,-75.2393570730362,4.43329888913213,465.132677941045,-75.2273570729236,4.43129888923715,464.164134253287,-75.2293570729738,4.4292988892577,439.435997087579,-75.2153570729423,4.43129888933059,827.248394671814,-75.2153570729392,4.43329888910823,620.79076492757
"41085",-75.2353570731934,4.43129888929971,445.804382488218,-75.23735707277,4.43329888912548,439.85931930578,-75.2253570729736,4.4312988892086,471.90441580232,-75.2273570728886,4.42929888931727,418.683219302921,-75.2133570728891,4.43129888925581,737.750156237886,-75.225357072948,4.43529888917461,607.789498056593
"41086",-75.2333570727029,4.4312988893644,456.4800816082,-75.2333570727236,4.43329888910214,437.483699111295,-75.2233570729604,4.43129888921514,470.721807377951,-75.2373570727997,4.43129888924694,424.345024030336,-75.2113570729232,4.43129888920454,645.685779702686,-75.223357072971,4.43529888923109,618.162244418067
"41087",-75.2313570730009,4.43129888935318,464.740297680238,-75.2313570730083,4.43329888908544,454.123210479186,-75.2213570730136,4.43129888924518,459.784518572651,-75.2353570731934,4.43129888929971,445.010155968902,-75.2273570728813,4.43329888909508,718.148754677936,-75.2213570728836,4.43529888914025,624.218534091754
"41088",-75.2293570729312,4.4312988892892,467.755462197857,-75.2293570730021,4.43329888907151,456.996247742309,-75.2193570729288,4.43129888928715,439.740454949418,-75.2333570727029,4.4312988893644,460.019104490414,-75.2253570729948,4.43329888914459,966.098726116064,-75.2193570730234,4.43529888907776,669.579041851105
"41089",-75.2273570729236,4.43129888923715,462.063493194007,-75.2273570728813,4.43329888909508,459.325344216952,-75.2173570728668,4.43129888934103,412.556977223015,-75.2313570730009,4.43129888935318,468.481268173592,-75.2233570729568,4.43329888912059,1220.07245369447,-75.2173570729208,4.43529888911987,734.245967700816
"41090",-75.2253570729736,4.4312988892086,444.909408734603,-75.2253570729948,4.43329888914459,444.873646183571,-75.2153570729423,4.43129888933059,380.995481538606,-75.2293570729312,4.4312988892892,471.213427420067,-75.2213570728968,4.43329888921037,1421.06055995872,-75.2153570728559,4.43529888917874,757.019032212627
"41490",-75.2433570729876,4.4332988890475,484.322089561704,-75.2393570729804,4.43529888917534,468.993900980537,-75.2393570730362,4.43329888913213,375.25792160672,-75.2273570729236,4.43129888923715,466.289704005521,-75.2193570729755,4.43329888923823,1512.10635303764,-75.2133570728388,4.43529888917813,727.384892287555
"41491",-75.2413570728957,4.43329888907685,535.477547445615,-75.2373570728637,4.43529888914437,483.091562135733,-75.23735707277,4.43329888912548,399.700758682565,-75.2253570729736,4.4312988892086,455.962333541736,-75.2173570728885,4.43329888911634,1468.33719281359,-75.2113570730091,4.43529888912962,692.554718985064
"41492",-75.2393570730362,4.43329888913213,570.857363735689,-75.2353570730634,4.4352988891186,497.467141358006,-75.2353570731505,4.43329888914477,423.587449061998,-75.2233570729604,4.43129888921514,437.275460452299,-75.2153570729392,4.43329888910823,1312.3302237731,-75.2093570730427,4.43529888909787,639.076177433912
"41493",-75.23735707277,4.43329888912548,591.211498430141,-75.2333570727626,4.43529888920902,513.426116970508,-75.2333570727236,4.43329888910214,447.916616704667,-75.2213570730136,4.43129888924518,415.415649878049,-75.2133570728611,4.43329888921387,1101.14247868388,-75.2073570727702,4.43529888908288,585.597629822783
"41494",-75.2353570731505,4.43329888914477,598.149511036625,-75.2313570730317,4.43529888916368,529.385082555698,-75.2313570730083,4.43329888908544,472.726600116641,-75.23735707277,4.43329888912548,416.470460233107,-75.2113570729703,4.43329888924602,894.784015538091,-75.2053570730546,4.43529888902,690.444539472339
"41495",-75.2333570727236,4.43329888910214,592.969642651912,-75.2293570730099,4.43529888914669,505.378432341923,-75.2293570730021,4.43329888907151,496.906302746843,-75.2353570731505,4.43329888914477,433.282275379677,-75.2093570730195,4.43329888921627,729.96070358697,-75.2033570729598,4.43529888898547,796.637194914111
"41496",-75.2313570730083,4.43329888908544,576.32427532595,-75.2273570728501,4.43529888914648,479.79265611721,-75.2273570728813,4.43329888909508,518.296429136558,-75.2333570727236,4.43329888910214,447.804671853245,-75.2073570727744,4.43329888921244,613.902059312071,-75.2013570728635,4.43529888905553,772.924026131055
"41497",-75.2293570730021,4.43329888907151,548.684978294259,-75.225357072948,4.43529888917461,453.641827227319,-75.2253570729948,4.43329888914459,534.076173080163,-75.2313570730083,4.43329888908544,459.677159186166,-75.2293570730099,4.43529888914669,676.869428208392,-75.199357073005,4.43529888914234,709.356058122473
"41498",-75.2273570728813,4.43329888909508,511.095468966803,-75.1813570730377,4.43529888912134,432.124700144296,-75.2233570729568,4.43329888912059,541.386009973349,-75.2293570730021,4.43329888907151,469.013070897039,-75.2273570728501,4.43529888914648,946.906723591766,-75.1973570728599,4.43529888918127,624.323436614227
