"","x","y","densidad","x","y","densidad","x","y","densidad","x","y","densidad","x","y","densidad","x","y","densidad"
"32068",-75.273357072809,4.38729888932407,32.1619792750705,-75.4333570728544,4.43729888925905,43.6612000617995,-75.3713570729599,4.45129888926183,34.6018052182973,-75.2893570727806,4.42929888924857,27.0284968629247,-75.2333570727629,4.41929888945543,43.0282189518612,-75.2353570730893,4.42329888911921,56.8376485430777
"32069",-75.2713570729786,4.38729888928084,32.247644498203,-75.4313570728708,4.43729888928304,43.8922775123695,-75.3693570729671,4.45129888929397,34.9335864544123,-75.287357072984,4.42929888916118,27.0903698794203,-75.2313570731472,4.41929888942876,43.1614900975557,-75.2333570727973,4.42329888920872,57.5144046325394
"32070",-75.2693570730038,4.38729888920783,32.280202340747,-75.4293570730745,4.43729888924989,43.9282495193974,-75.3673570729315,4.45129888928596,35.1974242738762,-75.2853570730385,4.42929888918273,27.1150215104737,-75.2293570728871,4.41929888941106,43.2452074294707,-75.2313570730586,4.42329888922419,57.4660056717415
"32071",-75.2673570729306,4.38729888918134,32.2593456220152,-75.4273570727624,4.43729888918248,43.7676914315495,-75.3653570726931,4.45129888922632,35.3911405954577,-75.2833570730444,4.42929888922537,27.1023190143343,-75.2273570728542,4.41929888940233,43.2796589242933,-75.229357072964,4.42329888916565,57.3758475442794
"32072",-75.265357072838,4.38729888921291,32.1850205785537,-75.4373570730809,4.43929888912541,44.1009770395541,-75.3633570730611,4.4512988893023,35.5130152571373,-75.2813570727368,4.42929888918969,27.0523656421478,-75.2253570729489,4.41929888940258,43.2652927267125,-75.2273570729082,4.42329888910934,57.0745562569997
"32475",-75.27735707285,4.3892988892931,32.34291436039,-75.435357072993,4.43929888917523,44.7962913032459,-75.3613570729519,4.45129888925024,35.5618214385437,-75.2913570730872,4.43129888920973,27.0970076662691,-75.2233570731104,4.41929888940021,43.202712109597,-75.2373570727513,4.42529888925111,56.7344423162671
"32476",-75.2753570730445,4.38929888920444,32.5640348032449,-75.433357072777,4.43929888928112,45.2996582711637,-75.3593570728674,4.45129888915801,35.5368557306627,-75.2893570728341,4.43129888917811,27.2227364552621,-75.2213570727615,4.41929888940681,43.0926699362736,-75.2353570730282,4.42529888921706,57.7542235884037
"32477",-75.2733570727943,4.38929888918781,32.7330161498675,-75.4313570729496,4.4392988892558,45.6034622102527,-75.3573570731704,4.4512988892129,35.4379618203461,-75.2873570729267,4.43129888926939,27.3115657554484,-75.2333570728151,4.42129888893256,43.1924659776788,-75.2333570728095,4.42529888917609,58.774005106242
"32478",-75.271357072981,4.38929888924323,32.8489757706458,-75.4293570730326,4.43929888925228,45.7028440766976,-75.355357072816,4.45129888922764,35.2655465672704,-75.2853570730471,4.43129888929631,27.3629495498119,-75.2313570730891,4.42129888896509,43.4212459356698,-75.2313570730557,4.42529888915135,58.9942493661159
"32479",-75.2693570730465,4.38929888927128,32.911273211623,-75.4273570728422,4.43929888928198,45.5958295526513,-75.3533570728211,4.45129888919073,35.0205892355659,-75.2833570729538,4.4312988893352,27.3765797924234,-75.2293570729188,4.42129888900902,43.5991927342739,-75.229357072946,4.4252988892307,59.1684511900092
