"","x","y","densidad","x","y","densidad","x","y","densidad","x","y","densidad","x","y","densidad","x","y","densidad"
"40272",-75.2253570729804,4.4272988890535,429.099160136729,-75.2433570730194,4.43129888934067,445.891033204967,-75.2353570731934,4.43129888929971,388.517215594618,-75.2373570728409,4.42929888918389,428.247303417209,-75.2233570729604,4.43129888921514,711.28259589768,-75.2173570728668,4.43129888934103,596.016590210087
"40273",-75.2233570729329,4.42729888917419,434.543435477746,-75.241357072964,4.43129888941077,453.386033832019,-75.2333570727029,4.4312988893644,409.734822374188,-75.235357073192,4.42929888917072,445.438665539686,-75.2213570730136,4.43129888924518,825.764106808391,-75.2153570729423,4.43129888933059,616.7679882513
"40681",-75.2253570729727,4.42929888931009,433.235857776453,-75.2393570729293,4.4312988893171,443.736340386372,-75.2313570730009,4.43129888935318,430.594251894474,-75.233357072689,4.42929888909079,453.217439317024,-75.2193570729288,4.43129888928715,888.658468279934,-75.2193570729755,4.43329888923823,592.805239031386
"40682",-75.2233570728936,4.42929888923616,428.260504883546,-75.2413570728957,4.43329888907685,453.219233572904,-75.2293570729312,4.4312988892892,449.543123674011,-75.2313570730327,4.42929888911978,450.10157280624,-75.2173570728668,4.43129888934103,886.262220499601,-75.2173570728885,4.43329888911634,624.874708795689
"41084",-75.2373570727997,4.43129888924694,433.723723621601,-75.2393570730362,4.43329888913213,465.132677941044,-75.2273570729236,4.43129888923715,464.190200916883,-75.2293570729738,4.4292988892577,439.435997087577,-75.2153570729423,4.43129888933059,827.248394788946,-75.2153570729392,4.43329888910823,620.790764927577
"41085",-75.2353570731934,4.43129888929971,445.804364961646,-75.23735707277,4.43329888912548,439.859319305779,-75.2253570729736,4.4312988892086,471.941207610281,-75.2273570728886,4.42929888931727,418.68321930292,-75.2133570728891,4.43129888925581,737.750156398601,-75.225357072948,4.43529888917461,607.789498056598
"41086",-75.2333570727029,4.4312988893644,456.480082546972,-75.2333570727236,4.43329888910214,437.483699111295,-75.2233570729604,4.43129888921514,470.764729304232,-75.2373570727997,4.43129888924694,424.345024030337,-75.2113570729232,4.43129888920454,645.685779859098,-75.223357072971,4.43529888923109,618.16224441807
"41087",-75.2313570730009,4.43129888935318,464.740294503463,-75.2313570730083,4.43329888908544,454.123210479186,-75.2213570730136,4.43129888924518,459.827497585414,-75.2353570731934,4.43129888929971,445.010155968903,-75.2273570728813,4.43329888909508,718.148754543849,-75.2213570728836,4.43529888914025,624.218534091756
"41088",-75.2293570729312,4.4312988892892,467.755442161834,-75.2293570730021,4.43329888907151,456.996247742309,-75.2193570729288,4.43129888928715,439.777664935442,-75.2333570727029,4.4312988893644,460.019104490415,-75.2253570729948,4.43329888914459,966.098725957583,-75.2193570730234,4.43529888907776,669.579041851109
"41089",-75.2273570729236,4.43129888923715,462.063453672165,-75.2273570728813,4.43329888909508,459.325344216951,-75.2173570728668,4.43129888934103,412.584316954144,-75.2313570730009,4.43129888935318,468.481268173592,-75.2233570729568,4.43329888912059,1220.0724535522,-75.2173570729208,4.43529888911987,734.245967700824
"41090",-75.2253570729736,4.4312988892086,444.909356336564,-75.2253570729948,4.43329888914459,444.873646183571,-75.2153570729423,4.43129888933059,381.01130048421,-75.2293570729312,4.4312988892892,471.213427420067,-75.2213570728968,4.43329888921037,1421.06055988306,-75.2153570728559,4.43529888917874,757.019032212634
"41490",-75.2433570729876,4.4332988890475,484.321907750708,-75.2393570729804,4.43529888917534,468.993900980536,-75.2393570730362,4.43329888913213,375.267387123838,-75.2273570729236,4.43129888923715,466.289704005521,-75.2193570729755,4.43329888923823,1512.10635306336,-75.2133570728388,4.43529888917813,727.384892287557
"41491",-75.2413570728957,4.43329888907685,535.477386738511,-75.2373570728637,4.43529888914437,483.091562135732,-75.23735707277,4.43329888912548,399.704208294937,-75.2253570729736,4.4312988892086,455.962333541736,-75.2173570728885,4.43329888911634,1468.33719293913,-75.2113570730091,4.43529888912962,692.554718985062
"41492",-75.2393570730362,4.43329888913213,570.857259515498,-75.2353570730634,4.4352988891186,497.467141358006,-75.2353570731505,4.43329888914477,423.58737079532,-75.2233570729604,4.43129888921514,437.275460452299,-75.2153570729392,4.43329888910823,1312.33022396087,-75.2093570730427,4.43529888909787,639.076177433908
"41493",-75.23735707277,4.43329888912548,591.211458961722,-75.2333570727626,4.43529888920902,513.426116970508,-75.2333570727236,4.43329888910214,447.917398180675,-75.2213570730136,4.43129888924518,415.415649878049,-75.2133570728611,4.43329888921387,1101.14247888056,-75.2073570727702,4.43529888908288,585.597629822777
"41494",-75.2353570731505,4.43329888914477,598.149519762499,-75.2313570730317,4.43529888916368,529.385082555697,-75.2313570730083,4.43329888908544,472.733238412772,-75.23735707277,4.43329888912548,416.470460233108,-75.2113570729703,4.43329888924602,894.784015698855,-75.2053570730546,4.43529888902,690.44453947234
"41495",-75.2333570727236,4.43329888910214,592.969671691538,-75.2293570730099,4.43529888914669,505.378432341923,-75.2293570730021,4.43329888907151,496.92307812011,-75.2353570731505,4.43329888914477,433.282275379678,-75.2093570730195,4.43329888921627,729.960703689563,-75.2033570729598,4.43529888898547,796.637194914119
"41496",-75.2313570730083,4.43329888908544,576.324300826402,-75.2273570728501,4.43529888914648,479.792656117211,-75.2273570728813,4.43329888909508,518.325766285102,-75.2333570727236,4.43329888910214,447.804671853245,-75.2073570727744,4.43329888921244,613.902059358282,-75.2013570728635,4.43529888905553,772.924026131061
"41497",-75.2293570730021,4.43329888907151,548.684989241348,-75.225357072948,4.43529888917461,453.641827227319,-75.2253570729948,4.43329888914459,534.117822301719,-75.2313570730083,4.43329888908544,459.677159186166,-75.2293570730099,4.43529888914669,676.869428218072,-75.199357073005,4.43529888914234,709.356058122473
"41498",-75.2273570728813,4.43329888909508,511.095466973644,-75.1813570730377,4.43529888912134,432.124700144296,-75.2233570729568,4.43329888912059,541.436713914248,-75.2293570730021,4.43329888907151,469.013070897039,-75.2273570728501,4.43529888914648,946.906723620312,-75.1973570728599,4.43529888918127,624.323436614224
"41499",-75.2253570729948,4.43329888914459,465.655368966311,-75.1793570728571,4.43529888902932,493.190137494251,-75.2213570728968,4.43329888921037,538.123324246849,-75.2273570728813,4.43329888909508,474.95985206844,-75.225357072948,4.43529888917461,1264.3022315418,-75.2353570730738,4.43729888923144,662.509757092617
"41897",-75.2473570730427,4.43529888906722,428.454669013884,-75.1773570728341,4.43529888905348,546.061581218889,-75.2193570729755,4.43329888923823,523.389948120137,-75.2253570729948,4.43329888914459,476.669058462628,-75.223357072971,4.43529888923109,1568.86711218719,-75.2333570727666,4.43729888912669,717.291658621057
"41898",-75.2453570728573,4.43529888908698,542.341986945371,-75.1753570728665,4.43529888909437,595.652258800264,-75.2173570728885,4.43329888911634,498.186726916593,-75.2233570729568,4.43329888912059,471.822688543611,-75.2213570728836,4.43529888914025,1781.03996952057,-75.231357073071,4.43729888912899,685.959293080479
"41899",-75.2433570729864,4.43529888914664,650.578422360789,-75.1733570730363,4.43529888916362,584.883453602939,-75.2153570729392,4.43329888910823,465.101278565366,-75.2213570728968,4.43329888921037,462.219854343317,-75.2193570730234,4.43529888907776,1837.53304929507,-75.2293570729427,4.43729888917363,661.462813278778
"41900",-75.2413570728672,4.43529888914682,742.08935597483,-75.1713570729565,4.43529888917341,519.888541292775,-75.2133570728611,4.43329888921387,427.787255102029,-75.2193570729755,4.43329888923823,444.056427000669,-75.2173570729208,4.43529888911987,1726.37268650888,-75.2273570728415,4.43729888924904,685.578931357517
"41901",-75.2393570729804,4.43529888917534,807.299209051368,-75.1693570729767,4.4352988891121,443.655168044406,-75.2113570729703,4.43329888924602,390.113876708539,-75.2173570728885,4.43329888911634,423.507637935785,-75.2153570728559,4.43529888917874,1494.20190814502,-75.2253570729097,4.43729888926739,709.695039456771
"41902",-75.2373570728637,4.43529888914437,839.695325005832,-75.2413570729785,4.43729888916852,435.487728342403,-75.2393570729804,4.43529888917534,392.206242055411,-75.2373570728637,4.43529888914437,421.086843271798,-75.2133570728388,4.43529888917813,1219.4958334145,-75.223357073003,4.43729888921709,770.672903993645
"41903",-75.2353570730634,4.4352988891186,836.870771350087,-75.2393570728619,4.43729888914715,497.389114729239,-75.2373570728637,4.43529888914437,417.265879086052,-75.2353570730634,4.4352988891186,432.142162344175,-75.2113570730091,4.43529888912962,972.780202080675,-75.2213570729743,4.43729888918597,835.886198739114
"41904",-75.2333570727626,4.43529888920902,800.906256215497,-75.2373570729038,4.43729888925596,541.055881555663,-75.2353570730634,4.4352988891186,439.501412417414,-75.2333570727626,4.43529888920902,442.098589322997,-75.2093570730427,4.43529888909787,790.81891441201,-75.219357072996,4.43729888918563,903.606793578059
"41905",-75.2313570730317,4.43529888916368,737.965869465354,-75.2353570730738,4.43729888923144,579.21112412602,-75.2333570727626,4.43529888920902,460.057519476178,-75.2313570730317,4.43529888916368,450.783093194989,-75.2073570727702,4.43529888908288,674.485708843986,-75.2173570728753,4.43729888921606,972.558994013811
"41906",-75.2293570730099,4.43529888914669,657.093311870879,-75.2333570727666,4.43729888912669,585.965833267526,-75.2313570730317,4.43529888916368,479.598080430348,-75.2293570730099,4.43529888914669,458.743240787127,-75.2053570730546,4.43529888902,602.151572396758,-75.2153570728573,4.43729888920102,945.202408287758
"41907",-75.2273570728501,4.43529888914648,568.434248004527,-75.231357073071,4.43729888912899,592.720544601978,-75.2293570730099,4.43529888914669,498.130562925988,-75.2273570728501,4.43529888914648,465.735571696097,-75.2293570729427,4.43729888917363,732.875507722697,-75.2133570728222,4.43729888921674,797.368203524629
"41908",-75.225357072948,4.43529888917461,481.34145740638,-75.2293570729427,4.43729888917363,534.922566236216,-75.2273570728501,4.43529888914648,514.954151614421,-75.225357072948,4.43529888917461,470.312496245978,-75.2273570728415,4.43729888924904,956.196461196038,-75.2113570730511,4.43729888924007,671.980560818152
"41930",-75.1813570730377,4.43529888912134,434.499408898294,-75.2273570728415,4.43729888924904,474.573974451135,-75.225357072948,4.43529888917461,528.699764460426,-75.223357072971,4.43529888923109,471.152761757774,-75.2253570729097,4.43729888926739,1199.64994671012,-75.2093570730666,4.43729888920632,627.152766331442
"41931",-75.1793570728571,4.43529888902932,440.018452860192,-75.1813570730337,4.43729888929216,508.817840612678,-75.223357072971,4.43529888923109,537.49654221219,-75.2213570728836,4.43529888914025,468.362062503699,-75.223357073003,4.43729888921709,1410.03105767589,-75.2073570727644,4.43729888920336,582.324960605155
"41932",-75.1773570728341,4.43529888905348,441.480123189081,-75.1793570729116,4.43729888933392,591.303282745219,-75.2213570728836,4.43529888914025,539.33210117423,-75.2193570730234,4.43529888907776,459.036423876235,-75.2213570729743,4.43729888918597,1529.07925020877,-75.2053570731074,4.43729888921956,712.006651912329
"41933",-75.1753570728665,4.43529888909437,436.466812414259,-75.1773570728707,4.4372988892192,641.68219026267,-75.2193570730234,4.43529888907776,532.612164383867,-75.2173570729208,4.43529888911987,446.559946448322,-75.219357072996,4.43729888918563,1522.67818246239,-75.2033570728945,4.43729888926654,843.171661171759
"42306",-75.2473570730432,4.43729888920686,517.872158239246,-75.175357072885,4.43729888912364,679.206074631215,-75.2173570729208,4.43529888911987,516.787952701311,-75.2153570728559,4.43529888917874,427.440725949867,-75.2173570728753,4.43729888921606,1400.02221892597,-75.2013570728568,4.43729888926806,813.199733670174
"42307",-75.2453570727513,4.43729888929201,682.598841046561,-75.1733570729367,4.43729888913505,650.945191107486,-75.2153570728559,4.43529888917874,492.800592026099,-75.2133570728388,4.43529888917813,407.322125066602,-75.2153570728573,4.43729888920102,1208.03653094883,-75.1993570729802,4.43729888921253,733.791401191695
"42308",-75.2433570730158,4.43729888930851,849.601266215372,-75.1713570730038,4.43729888917724,563.584221146406,-75.2133570728388,4.43529888917813,463.095242192631,-75.1833570730748,4.43529888915389,420.51650416364,-75.2133570728222,4.43729888921674,1005.8895228138,-75.1973570728938,4.43729888916457,662.254436422491
"42309",-75.2413570729785,4.43729888916852,1000.24918585385,-75.1693570729943,4.43729888917401,480.285910247847,-75.2113570730091,4.43529888912962,431.118834381815,-75.1813570730377,4.43529888912134,439.519901621293,-75.2113570730511,4.43729888924007,838.177330673543,-75.1953570729219,4.43729888914739,597.452823147855
"42310",-75.2393570728619,4.43729888914715,1115.09750550198,-75.2413570730295,4.43929888930424,514.191331396939,-75.2093570730427,4.43529888909787,400.46241784583,-75.1793570728571,4.43529888902932,439.254463463964,-75.2093570730666,4.43729888920632,721.651970901217,-75.1913570729803,4.43729888911751,631.524896741434
