"densidad","geometry"
"32068",32.1619792750705,c(-75.273357072809, 4.38729888932407)
"32069",32.247644498203,c(-75.2713570729786, 4.38729888928084)
"32070",32.280202340747,c(-75.2693570730038, 4.38729888920783)
"32071",32.2593456220152,c(-75.2673570729306, 4.38729888918134)
"32072",32.1850205785537,c(-75.265357072838, 4.38729888921291)
"32475",32.34291436039,c(-75.27735707285, 4.3892988892931)
"32476",32.5640348032449,c(-75.2753570730445, 4.38929888920444)
"32477",32.7330161498675,c(-75.2733570727943, 4.38929888918781)
"32478",32.8489757706458,c(-75.271357072981, 4.38929888924323)
"32479",32.911273211623,c(-75.2693570730465, 4.38929888927128)
"32480",32.9195166001922,c(-75.2673570729021, 4.38929888928351)
"32481",32.8735676083274,c(-75.26535707285, 4.38929888926838)
"32482",32.7735447222137,c(-75.2633570730484, 4.38929888921433)
"32483",32.6198247014442,c(-75.2613570728645, 4.38929888930863)
"32484",32.4130421767015,c(-75.2593570729308, 4.38929888938711)
"32485",32.1540873564196,c(-75.2573570728913, 4.38929888936192)
"32883",32.3410948556158,c(-75.2793570730224, 4.39129888903293)
"32884",32.6434735544152,c(-75.2773570728614, 4.39129888908611)
"32885",32.8947476457475,c(-75.2753570729938, 4.39129888921375)
"32886",33.0937194061435,c(-75.2733570728468, 4.39129888922858)
"32887",33.2394265715183,c(-75.2713570729714, 4.3912988891306)
"32888",33.3311504039908,c(-75.2693570729865, 4.39129888917186)
"32889",33.3684217943374,c(-75.2673570729335, 4.39129888918817)
"32890",33.3510261261605,c(-75.2653570729193, 4.39129888910322)
"32891",33.2790064281894,c(-75.2633570729557, 4.3912988891806)
"32892",33.1526645744792,c(-75.2613570728097, 4.39129888923304)
"32893",32.9725610321001,c(-75.259357072979, 4.39129888916112)
"32894",32.7395125403971,c(-75.2573570728775, 4.39129888915211)
"32895",32.4545881255899,c(-75.2553570730632, 4.39129888921757)
"33292",32.4039197008277,c(-75.2793570730052, 4.39329888916715)
"33293",32.7351796842979,c(-75.2773570728449, 4.39329888914752)
"33294",33.0154735186498,c(-75.2753570729244, 4.39329888910536)
"33295",33.2435223348576,c(-75.2733570728896, 4.39329888911701)
"33296",33.4182852724656,c(-75.2713570729381, 4.39329888920554)
"33297",33.5389672688991,c(-75.2693570729886, 4.39329888919523)
"33298",33.6050251837899,c(-75.2673570729479, 4.3932988891624)
"33299",33.61617234385,c(-75.2653570729576, 4.39329888919491)
"33300",33.5723814114866,c(-75.2633570729295, 4.39329888910549)
"33301",33.4738855775251,c(-75.2613570728958, 4.39329888899354)
"33302",33.3211779671025,c(-75.2593570729006, 4.3932988890579)
"33303",33.1150091849924,c(-75.2573570729229, 4.39329888909974)
"33304",32.8563831842661,c(-75.2553570730325, 4.39329888901964)
"33305",32.5465512480973,c(-75.2533570728918, 4.39329888910429)
"33306",32.1870042196203,c(-75.2513570728079, 4.39329888916642)
"33701",32.2631218613098,c(-75.2793570729624, 4.39529888920112)
"33702",32.6217531530804,c(-75.2773570729236, 4.39529888918502)
"33703",32.9297881903145,c(-75.2753570729245, 4.3952988891488)
"33704",33.1858631353095,c(-75.2733570728228, 4.39529888920345)
"33705",33.3888553917975,c(-75.2713570729811, 4.39529888913858)
"33706",33.5378913997974,c(-75.2693570729531, 4.39529888914148)
"33707",33.632352620233,c(-75.2673570729454, 4.39529888921214)
"33708",33.6718800395938,c(-75.2653570729765, 4.39529888916329)
"33709",33.6563768342897,c(-75.2633570729582, 4.3952988892053)
"33710",33.5860093470968,c(-75.261357072946, 4.39529888923877)
"33711",33.4612062419881,c(-75.2593570727954, 4.39529888922903)
"33712",33.2826559536309,c(-75.257357073016, 4.39529888919918)
"33713",33.0513021451837,c(-75.2553570730586, 4.39529888916079)
"33714",32.7683376126646,c(-75.2533570728394, 4.3952988891023)
"33715",32.4351964133949,c(-75.2513570727885, 4.39529888911157)
"34111",32.3110671497475,c(-75.2773570728975, 4.3972988890258)
"34112",32.6453820028166,c(-75.2753570729058, 4.39729888910648)
"34113",32.9282622186459,c(-75.2733570728231, 4.39729888907007)
"34114",33.1584971911587,c(-75.271357073012, 4.39729888910385)
"34115",33.3351290547744,c(-75.269357072903, 4.39729888911995)
"34116",33.4574586460584,c(-75.2673570730028, 4.39729888904206)
"34117",33.5250501381908,c(-75.2653570729645, 4.39729888904591)
"34118",33.5377336886143,c(-75.2633570729535, 4.39729888902053)
"34119",33.4956062691919,c(-75.2613570728719, 4.39729888906533)
"34120",33.3990307251803,c(-75.259357072852, 4.39729888909245)
"34121",33.2486329327784,c(-75.2573570729799, 4.3972988891019)
"34122",33.0452971293582,c(-75.2553570730415, 4.39729888919308)
"34123",32.790159517686,c(-75.2533570729297, 4.39729888917873)
"34124",32.4846000840309,c(-75.2513570728094, 4.39729888905884)
"34521",32.1741842529796,c(-75.2753570729684, 4.39929888937971)
"34522",32.4824227232855,c(-75.2733570728138, 4.39929888936321)
"34523",32.7387005679332,c(-75.2713570730077, 4.399298889343)
"34524",32.9419675069199,c(-75.2693570729269, 4.39929888930754)
"34525",33.0914357452992,c(-75.2673570730315, 4.39929888933314)
"34526",33.1865850171802,c(-75.2653570729098, 4.39929888935504)
"34527",33.227165261568,c(-75.2633570729387, 4.39929888944954)
"34528",33.2131977343915,c(-75.261357072862, 4.39929888942937)
"34529",33.1449738994119,c(-75.259357072947, 4.39929888931765)
"34530",33.0230525502884,c(-75.2573570729031, 4.39929888929008)
"34531",32.8482551291502,c(-75.2553570729929, 4.39929888932356)
"34532",32.6216590061248,c(-75.253357072986, 4.39929888933023)
